participant_id,video_id,video_type,prime_type,classification_difficulty,action_match,trial,fixation_id,loop,frame,duration_ms,x_px,y_px
A110_002,33974,full,inpainted,Hard,1,21,17,3,119,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,120,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,121,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,122,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,123,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,124,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,125,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,126,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,127,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,128,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,129,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,130,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,131,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,132,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,133,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,17,3,134,315,249.4850299,162.0439122
A110_002,33974,full,inpainted,Hard,1,21,18,4,21,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,22,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,23,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,24,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,25,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,26,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,27,121,268.7744511,150.1636727
A110_002,33974,full,inpainted,Hard,1,21,18,4,28,121,268.7744511,150.1636727
